index,总价,平米单价,小区,所在区,户型,楼层,面积,户型结构,建筑类型,朝向,建筑结构,装修情况,梯户比例,电梯与否,发布年,发布月,发布日
71,115.0,15150,万景峰二期,高新西,3室1厅1厨1卫,中楼层 (共33层),75.91㎡,暂无数据,板楼,南,钢混结构,其他,两梯六户,有,2022,7,8
49,60.0,12548,成都后花园二期,郫都,1室1厅1厨1卫,高楼层 (共11层),47.82㎡,暂无数据,板塔结合,西北,框架结构,精装,四梯三十六户,有,2022,7,8
44,87.0,8447,中华名城2期,青白江,3室1厅1厨2卫,低楼层 (共18层),103㎡,平层,板塔结合,东南,框架结构,毛坯,两梯四户,有,2022,7,8
7,235.0,22997,慕和南道,天府新区,3室1厅1厨2卫,中楼层 (共26层),102.19㎡,平层,板塔结合,南,钢混结构,精装,两梯五户,有,2022,7,8
39,160.0,32600,天府长城图南多,高新,1室1厅1厨1卫,高楼层 (共31层),49.08㎡,平层,板塔结合,南,框架结构,其他,三梯十二户,有,2022,7,8
42,115.0,14421,蓝光花满庭三期南区,新都,3室2厅1厨1卫,低楼层 (共26层),79.75㎡,暂无数据,板塔结合,北,钢混结构,简装,两梯七户,有,2022,7,8
1,580.0,21837,天鹅湖花园,高新,5室2厅1厨2卫,高楼层 (共32层),265.61㎡,平层,板楼,西北,框架结构,其他,两梯三户,有,2022,7,8
100,235.0,28023,鑫苑鑫都汇南区,天府新区,3室2厅1厨2卫,中楼层 (共31层),83.86㎡,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,2022,7,8
30,230.0,29743,凯德天府,高新,1室1厅1厨1卫,高楼层 (共22层),77.33㎡,暂无数据,塔楼,南,框架结构,简装,四梯八户,有,2022,7,8
59,183.0,28025,万科金润华府,锦江,2室1厅1厨1卫,高楼层 (共35层),65.3㎡,暂无数据,塔楼,西南,钢混结构,其他,四梯八户,有,2022,7,8
26,55.0,4922,宏发苑B区,简阳,3室2厅1厨2卫,低楼层 (共8层),111.75㎡,暂无数据,板塔结合,南,砖混结构,其他,一梯三户,无,2022,7,8
85,82.0,11442,五彩城,郫都,2室1厅1厨1卫,中楼层 (共32层),71.67㎡,暂无数据,塔楼,东北,钢混结构,精装,两梯六户,有,2022,7,8
25,95.0,14394,汇锦城,高新,1室1厅1厨1卫,高楼层 (共29层),66㎡,暂无数据,塔楼,南,框架结构,简装,四梯二十一户,有,2022,7,8
57,84.0,20000,环球汇广场,锦江,1室1厅1厨1卫,低楼层 (共30层),42㎡,暂无数据,塔楼,东南,钢混结构,其他,三梯十八户,有,2022,7,8
2,132.0,19982,华西雅筑,成华,2室1厅1厨1卫,高楼层 (共18层),66.06㎡,暂无数据,塔楼,东北,钢混结构,其他,两梯八户,有,2022,7,8
113,150.0,14706,新华苑(武侯),武侯,2室1厅1厨1卫,中楼层 (共14层),102㎡,平层,板楼,南,混合结构,其他,四梯五十一户,有,2022,7,8
114,90.0,9292,成博小区,新都,3室2厅1厨1卫,中楼层 (共18层),96.86㎡,暂无数据,塔楼,东,钢混结构,毛坯,两梯四户,有,2022,7,8
51,95.0,19776,戛纳湾滨江,天府新区,1室1厅1厨1卫,低楼层 (共32层),48.04㎡,平层,塔楼,东,框架结构,其他,四梯二十二户,有,2022,7,8
34,190.0,21443,城南晶座,高新,3室2厅1厨1卫,中楼层 (共33层),88.61㎡,暂无数据,塔楼,南,钢混结构,精装,两梯七户,有,2022,7,8
60,66.0,7173,聚贤雅丽园,新都,2室1厅1厨1卫,中楼层 (共6层),92.02㎡,平层,板楼,北,混合结构,其他,一梯四户,无,2022,7,8
73,188.0,11773,观澜半岛,温江,4室2厅1厨2卫,中楼层 (共6层),159.7㎡,暂无数据,板塔结合,东南,钢混结构,简装,一梯两户,无,2022,7,8
32,110.0,14865,龙城国际四期,郫都,2室2厅1厨1卫,中楼层 (共32层),74㎡,暂无数据,板塔结合,东南,钢混结构,精装,两梯六户,有,2022,7,8
38,85.0,6855,新欧鹏教育小镇哈佛公馆,青白江,3室2厅1厨2卫,高楼层 (共33层),124㎡,暂无数据,板楼,东南,框架结构,其他,一梯六户,暂无数据,2022,7,8
23,175.0,18387,凯德卓锦万黛,龙泉驿,3室2厅1厨2卫,高楼层 (共34层),95.18㎡,暂无数据,板塔结合,东南,钢混结构,其他,两梯六户,有,2022,7,8
94,135.0,11539,乐居福园,武侯,3室2厅1厨2卫,中楼层 (共11层),117㎡,暂无数据,板楼,西北,砖混结构,其他,一梯四户,有,2022,7,8
69,105.0,8861,恒昌贵筑,彭州,3室1厅1厨2卫,高楼层 (共18层),118.5㎡,平层,板楼,东南,框架结构,其他,两梯五户,有,2022,7,8
6,35.0,7292,国色天香,彭州,1室1厅1厨1卫,高楼层 (共4层),48㎡,暂无数据,板塔结合,南,未知结构,其他,一梯二十四户,无,2022,7,8
78,365.0,21657,南延新苑,高新,4室1厅1厨2卫,高楼层 (共30层),168.54㎡,暂无数据,板塔结合,东南,钢混结构,毛坯,两梯两户,有,2022,7,8
65,460.0,41562,万科金域名邸二期,高新,4室2厅1厨2卫,中楼层 (共29层),110.68㎡,平层,板塔结合,南,钢混结构,精装,两梯四户,有,2022,7,8
36,69.8,9807,万千城,新都,2室1厅1厨1卫,高楼层 (共32层),71.18㎡,暂无数据,板塔结合,西,钢混结构,其他,四梯十二户,有,2022,7,8
67,55.8,3610,繁江路57号,彭州,5室2厅1厨3卫,高楼层 (共4层),154.6㎡,暂无数据,暂无数据,南,未知结构,毛坯,一梯两户,暂无数据,2022,7,8
