index,总数,总价,平米单价,小区,所在区,户型,楼层,面积,户型结构,建筑类型,朝向,建筑结构,装修情况,梯户比例,电梯与否,发布年,发布月,发布日
11484,172172.0,53.0,5324.0,状元街二巷19号,新都,3室2厅1厨1卫,低楼层 (共5层),99.56㎡,暂无数据,暂无数据,南,未知结构,其他,一梯两户,暂无数据,2022,7,8.0
13266,172402.0,130.0,11426.0,西区花园水云庭,郫都,3室2厅2厨2卫,中楼层 (共6层),113.78㎡,暂无数据,板楼,东南,钢混结构,精装,一梯两户,无,2022,7,8.0
13285,172402.0,385.0,30800.0,城市春天,高新,4室2厅1厨2卫,中楼层 (共31层),125㎡,暂无数据,板塔结合,南,钢混结构,其他,两梯四户,有,2022,7,8.0
211,170778.0,178.5,22459.0,沙河壹号一期,锦江,3室1厅1厨1卫,低楼层 (共34层),79.48㎡,平层,塔楼,东,钢混结构,精装,三梯八户,有,2022,6,3.0
629,170784.0,110.0,14116.0,万景峰一期,高新西,3室1厅1厨1卫,高楼层 (共33层),77.93㎡,平层,板塔结合,西南 西,钢混结构,精装,两梯六户,有,2022,6,14.0
830,170789.0,109.0,15139.0,蓝润光华春天A区,温江,2室2厅1厨1卫,中楼层 (共32层),72㎡,平层,板塔结合,东南,框架结构,精装,两梯六户,有,2022,6,19.0
832,170789.0,72.0,8787.0,清江别韵,郫都,3室2厅1厨1卫,中楼层 (共17层),81.94㎡,平层,塔楼,南,钢混结构,精装,两梯六户,有,2022,6,18.0
869,170788.0,108.8,14446.0,中铁丽景书香,温江,3室1厅1厨1卫,低楼层 (共33层),75.32㎡,平层,板塔结合,东 东北,钢混结构,精装,两梯六户,有,2022,6,5.0
1313,170788.0,148.0,17212.0,优地B区,武侯,2室1厅1厨1卫,中楼层 (共17层),85.99㎡,平层,板楼,东南,框架结构,简装,三梯九户,有,2022,5,1.0
1431,170789.0,252.0,24049.0,戛纳湾金棕榈,天府新区,3室2厅1厨2卫,高楼层 (共29层),104.79㎡,平层,板塔结合,南 北,钢混结构,毛坯,两梯五户,有,2022,6,16.0
1715,170794.0,156.0,18313.0,万科理想城三期·星河,郫都,3室1厅1厨2卫,高楼层 (共27层),85.19㎡,平层,塔楼,西,钢混结构,精装,两梯六户,有,2022,6,16.0
2356,170786.0,172.0,18102.0,成都新天地,双流,3室2厅1厨2卫,低楼层 (共13层),95.02㎡,平层,板塔结合,西南,钢混结构,精装,两梯六户,有,2022,6,1.0
2557,170784.0,119.5,12494.0,中信未来城北区,郫都,3室1厅1厨2卫,低楼层 (共33层),95.65㎡,平层,塔楼,西北,钢混结构,精装,两梯六户,有,2022,2,8.0
2599,170785.0,158.0,12469.0,恒福苑,金牛,3室1厅1厨2卫,高楼层 (共12层),126.72㎡,平层,塔楼,东北,框架结构,精装,三梯一户,有,2022,3,27.0
3621,170857.0,275.0,27689.0,中海锦江城云熙一期,天府新区,3室2厅1厨2卫,高楼层 (共33层),99.32㎡,平层,塔楼,东南,钢混结构,精装,两梯四户,有,2022,6,18.0
4586,170860.0,98.0,10962.0,莱茵北郡三期,新都,3室2厅1厨1卫,低楼层 (共18层),89.4㎡,平层,板塔结合,南,钢混结构,毛坯,两梯五户,有,2022,6,6.0
